"id_discente","curso","turno","ano_ingresso","idade_ingresso","escola_publica","forma_ingresso","acao_afirmativa","sexo","cor_raca","estado_civil","media_global_aluno","media_global_curso","percentual_integralizado","trancamentos","mobilidade","total_componentes","total_reprovacao","total_aprovacao","percentagem_frequencia","percentagem_reprovacao","reprovacoes_rm","reprovacoes_rf","reprovacoes_rmf","percentagem_aprovacao","qtd_semestres","motivo_inativacao","status"
798549,"Sistemas De Informação","Noturno",2015,30,"Sim","Sisu","RI","Masculino","Branco","Casado(A)",0,5.32,0,0,0,5,5,0,5.63,100,0,0,5,0,1,"Excluído","Excluído"
798550,"Ciência Da Computação","Integral",2015,18,"Sim","Sisu","RI","Masculino","Branco","Solteiro(A)",6.48,5.03,52.12,4,0,39,13,26,88.78,33.33,10,0,3,66.67,8,"Ativo","Ativo"
798554,"Sistemas De Informação","Noturno",2015,20,"Não","Sisu","Ampla Concorrência","Masculino","Branco","Solteiro(A)",5.11,5.32,41.6,2,0,37,17,20,87.47,45.95,14,0,3,54.05,9,"Ativo","Ativo"
798560,"Ciência Da Computação","Integral",2015,18,"Não","Sisu","Ampla Concorrência","Feminino","Branco","Solteiro(A)",0,5.03,0,0,0,5,5,0,11.25,100,0,0,5,0,1,"Excluído","Excluído"
798568,"Sistemas De Informação","Noturno",2015,20,"Sim","Sisu","RI-PPI","Masculino","Pardo","Solteiro(A)",6.5,5.32,98.93,0,0,55,13,42,89.10,23.64,12,0,1,76.36,13,"Ativo","Ativo"
798587,"Ciência Da Computação","Integral",2015,19,"Não","Sisu","Ampla Concorrência","Masculino","Branco","Solteiro(A)",1.38,5.03,0,0,0,5,5,0,57.50,100,0,0,5,0,1,"Excluído","Excluído"
798602,"Sistemas De Informação","Noturno",2015,18,"Sim","Sisu","RS-PPI","Masculino","Pardo","Solteiro(A)",7.92,5.32,10.66,1,0,5,0,5,94.38,0,0,0,0,100,1,"Mudança de curso","Excluído"
798623,"Sistemas De Informação","Noturno",2015,27,"Não","Sisu","Ampla Concorrência","Masculino","Não Informado","Solteiro(A)",8.74,5.32,100,0,0,42,2,40,93.73,4.76,2,0,0,95.24,12,"Conclusão","Graduado"
798637,"Ciência Da Computação","Integral",2015,18,"Sim","Sisu","RS-PPI","Masculino","Pardo","Solteiro(A)",5.5,5.03,25.46,0,0,26,11,15,94.08,42.31,11,0,0,57.69,5,"Mudança de curso","Excluído"
798649,"Ciência Da Computação","Integral",2015,18,"Sim","Sisu","RS-PPI","Feminino","Pardo","Solteiro(A)",6.34,5.03,44.61,0,0,30,9,21,94.90,30,9,0,0,70,6,"Mudança de curso","Excluído"
798656,"Ciência Da Computação","Integral",2015,18,"Sim","Sisu","RS-PPI","Feminino","Pardo","Solteiro(A)",7.34,5.03,100,0,0,49,6,43,87.38,12.24,6,0,0,87.76,11,"Conclusão","Graduado"
798686,"Ciência Da Computação","Integral",2015,18,"Não","Sisu","Ampla Concorrência","Masculino","Branco","Solteiro(A)",0,5.03,0,0,0,0,0,0,0.00,0,0,0,0,0,0,"Excluído","Excluído"
798742,"Sistemas De Informação","Noturno",2015,18,"Não","Sisu","Ampla Concorrência","Masculino","Branco","Solteiro(A)",6.96,5.32,94.66,0,0,47,6,41,89.04,12.77,5,0,1,87.23,10,"Ativo","Ativo"
798765,"Sistemas De Informação","Noturno",2015,30,"Não","Sisu","Ampla Concorrência","Masculino","Não Informado","Solteiro(A)",0.63,5.32,17.06,0,0,4,4,0,79.95,100,0,0,4,0,2,"Excluído","Excluído"
798773,"Sistemas De Informação","Noturno",2015,17,"Sim","Sisu","RS","Masculino","Branco","Solteiro(A)",6.4,5.32,76.8,2,0,46,11,35,79.78,23.91,3,0,8,76.09,10,"Ativo","Ativo"
799030,"Sistemas De Informação","Noturno",2015,22,"Sim","Sisu","RI","Masculino","Branco","Solteiro(A)",0,5.32,0,0,0,5,5,0,10.00,100,0,0,5,0,1,"Excluído","Excluído"
799064,"Sistemas De Informação","Noturno",2015,25,"Sim","Sisu","RI-PPI","Masculino","Pardo","Solteiro(A)",2.66,5.32,4.26,4,0,6,4,2,51.04,66.67,0,0,4,33.33,2,"Excluído","Excluído"
799071,"Sistemas De Informação","Noturno",2015,21,"Sim","Sisu","RI-PPI","Masculino","Pardo","Solteiro(A)",6.06,5.32,8.53,0,0,5,1,4,90.63,20,1,0,0,80,1,"Excluído","Excluído"
799109,"Sistemas De Informação","Noturno",2015,19,"Sim","Sisu","RI","Feminino","Branco","Solteiro(A)",2.95,5.32,23.46,0,0,37,26,11,46.28,70.27,2,0,24,29.73,10,"Excluído","Excluído"
799146,"Ciência Da Computação","Integral",2015,19,"Não","Sisu","Ampla Concorrência","Masculino","Pardo","Solteiro(A)",1.77,5.03,17.02,1,0,55,47,8,51.56,85.45,14,0,33,14.55,10,"Ativo","Ativo"
799187,"Ciência Da Computação","Integral",2015,19,"Não","Sisu","Ampla Concorrência","Masculino","Branco","Solteiro(A)",1.26,5.03,0,0,0,5,5,0,70.63,100,3,0,2,0,1,"Excluído","Excluído"
799228,"Ciência Da Computação","Integral",2015,18,"Sim","Sisu","RI-PPI","Masculino","Pardo","Solteiro(A)",0,5.03,0,0,0,0,0,0,0.00,0,0,0,0,0,0,"Excluído","Excluído"
799274,"Ciência Da Computação","Integral",2015,20,"Não","Sisu","Ampla Concorrência","Masculino","Branco","Solteiro(A)",1.44,5.03,0,0,0,5,5,0,70.00,100,3,0,2,0,1,"Excluído","Excluído"
799311,"Ciência Da Computação","Integral",2015,18,"Sim","Sisu","Ampla Concorrência","Feminino","Pardo","Solteiro(A)",6.29,5.03,100,0,0,59,14,45,92.10,23.73,14,0,0,76.27,10,"Conclusão","Graduado"
799332,"Ciência Da Computação","Integral",2015,18,"Não","Sisu","Ampla Concorrência","Masculino","Branco","Solteiro(A)",4.5,5.03,14.89,0,0,19,12,7,71.71,63.16,7,0,5,36.84,4,"Mudança de curso","Excluído"
799338,"Engenharia De Software","Noturno",2015,19,"Não","Sisu","Ampla Concorrência","Masculino","Branco","Solteiro(A)",7.19,5.48,100,0,0,49,6,43,88.79,12.24,6,0,0,87.76,11,"Conclusão","Graduado"
799356,"Ciência Da Computação","Integral",2015,18,"Sim","Sisu","RI","Masculino","Branco","Solteiro(A)",0.52,5.03,0,1,0,7,7,0,72.77,100,4,0,3,0,2,"Excluído","Excluído"
