id_discente;curso;turno;ano_ingresso;idade_ingresso;escola_publica;forma_ingresso;acao_afirmativa;sexo;cor_raca;estado_civil;media_global_aluno;media_global_curso;percentual_integralizado;trancamentos;mobilidade;total_componentes;total_reprovacao;total_aprovacao;percentagem_frequencia;percentagem_reprovacao;reprovacoes_rm;reprovacoes_rf;reprovacoes_rmf;percentagem_aprovacao;qtd_semestres;motivo_inativacao;status;faixa_etaria;acao_afirmativa_
781309;Sistemas De Informação;Noturno;2012;21;Não;Processo Seletivo;Ampla Concorrência;Masculino;Pardo;Solteiro(A);2.22;5.32;8.53;0;0.0;23;19;4;50.7;82.61;4;0;15;17.39;7;Excluído;Excluído;Entre 19 e 21;0
781310;Sistemas De Informação;Noturno;2012;18;Sim;Processo Seletivo;RI;Masculino;Pardo;Solteiro(A);8.25;5.32;100.0;0;0.0;44;0;44;93.87;0.0;0;0;0;100.0;8;Conclusão;Graduado;Até 18;1
781312;Ciência Da Computação;Integral;2012;19;Não;Processo Seletivo;Ampla Concorrência;Masculino;Pardo;Solteiro(A);0.0;5.03;0.0;0;0.0;5;5;0;8.75;100.0;0;0;5;0.0;1;Excluído;Excluído;Entre 19 e 21;0
781322;Sistemas De Informação;Noturno;2012;19;Não;Processo Seletivo;Ampla Concorrência;Masculino;Não Informado;Solteiro(A);4.55;5.32;58.66;1;0.0;49;23;26;73.95;46.94;10;0;13;53.06;12;Excluído;Excluído;Entre 19 e 21;0
781323;Sistemas De Informação;Noturno;2012;29;Sim;Processo Seletivo;RI;Masculino;Não Informado;Solteiro(A);0.0;5.32;0.0;0;0.0;5;5;0;8.13;100.0;0;0;5;0.0;1;Excluído;Excluído;Entre 28 e 30;1
781324;Ciência Da Computação;Integral;2012;20;Sim;Processo Seletivo;RI;Masculino;Preto;Solteiro(A);6.24;5.03;100.0;0;0.0;59;16;43;94.0;27.12;16;0;0;72.88;15;Conclusão;Graduado;Entre 19 e 21;1
781326;Engenharia De Software;Noturno;2012;18;Não;Processo Seletivo;Ampla Concorrência;Masculino;Não Informado;Solteiro(A);2.48;5.48;8.0;1;0.0;32;27;5;58.79;84.38;5;0;22;15.63;6;Excluído;Excluído;Até 18;0
781336;Ciência Da Computação;Integral;2012;17;Sim;Processo Seletivo;RI;Masculino;Branco;Solteiro(A);3.51;5.03;35.1;0;0.0;37;19;18;66.34;51.35;6;0;13;48.65;9;Excluído;Excluído;Até 18;1
781356;Sistemas De Informação;Noturno;2012;19;Não;Processo Seletivo;Ampla Concorrência;Masculino;Branco;Solteiro(A);7.44;5.32;100.0;1;0.0;43;0;43;85.9;0.0;0;0;0;100.0;8;Conclusão;Graduado;Entre 19 e 21;0
781357;Ciência Da Computação;Integral;2012;19;Sim;Processo Seletivo;Ampla Concorrência;Masculino;Não Informado;Solteiro(A);6.5;5.03;100.0;0;0.0;54;13;41;88.93;24.07;13;0;0;75.93;10;Conclusão;Graduado;Entre 19 e 21;0
781440;Ciência Da Computação;Integral;2012;18;Sim;Sisu;Ampla Concorrência;Feminino;Pardo;Solteiro(A);8.44;5.03;100.0;0;0.0;43;0;43;91.07;0.0;0;0;0;100.0;8;Conclusão;Graduado;Até 18;0
781441;Ciência Da Computação;Integral;2012;17;Não;Sisu;Ampla Concorrência;Masculino;Pardo;Solteiro(A);0.0;5.03;0.0;0;0.0;0;0;0;0.0;0.0;0;0;0;0.0;0;Excluído;Excluído;Até 18;0
781464;Engenharia De Software;Noturno;2012;17;Não;Processo Seletivo;Ampla Concorrência;Masculino;Não Informado;Solteiro(A);1.0;5.48;6.0;1;0.0;34;31;3;44.53;91.18;7;0;24;8.82;13;Excluído;Excluído;Até 18;0
781465;Engenharia De Software;Noturno;2012;18;Não;Processo Seletivo;Ampla Concorrência;Masculino;Pardo;Solteiro(A);7.03;5.48;100.0;0;0.0;51;7;44;87.38;13.73;6;0;1;86.27;11;Conclusão;Graduado;Até 18;0
781466;Engenharia De Software;Noturno;2012;18;Sim;Processo Seletivo;Ampla Concorrência;Masculino;Pardo;Solteiro(A);7.1;5.48;100.0;0;0.0;50;5;45;92.25;10.0;3;0;2;90.0;12;Conclusão;Graduado;Até 18;0
781474;Engenharia De Software;Noturno;2012;19;Não;Processo Seletivo;Ampla Concorrência;Masculino;Pardo;Solteiro(A);7.81;5.48;100.0;0;0.0;45;1;44;92.36;2.22;1;0;0;97.78;11;Conclusão;Graduado;Entre 19 e 21;0
781475;Engenharia De Software;Noturno;2012;19;Sim;Processo Seletivo;Ampla Concorrência;Masculino;Branco;Solteiro(A);5.25;5.48;40.0;0;0.0;33;13;20;76.94;39.39;5;0;8;60.61;7;Excluído;Excluído;Entre 19 e 21;0
781476;Engenharia De Software;Noturno;2012;32;Sim;Processo Seletivo;Ampla Concorrência;Masculino;Não Informado;Casado(A);5.99;5.48;100.0;1;0.0;56;16;40;81.88;28.57;10;0;6;71.43;16;Conclusão;Graduado;Entre 31 e 40;0
781484;Sistemas De Informação;Noturno;2012;26;Não;Sisu;Ampla Concorrência;Masculino;Pardo;Solteiro(A);7.43;5.32;100.0;0;0.0;31;2;29;93.19;6.45;1;0;1;93.55;8;Conclusão;Graduado;Entre 25 e 27;0
781493;Engenharia De Software;Noturno;2012;23;Não;Sisu;Ampla Concorrência;Masculino;Não Informado;Solteiro(A);2.0;5.48;18.0;1;0.0;39;30;9;49.84;76.92;6;1;23;23.08;10;Excluído;Excluído;Entre 21 e 24;0
781605;Engenharia De Software;Noturno;2012;18;Não;Processo Seletivo;Ampla Concorrência;Feminino;Não Informado;Solteiro(A);3.57;5.48;0.0;0;0.0;24;13;11;79.1;54.17;8;0;5;45.83;5;Excluído;Excluído;Até 18;0
781702;Engenharia De Software;Noturno;2012;27;Não;Sisu;Ampla Concorrência;Masculino;Não Informado;Solteiro(A);2.23;5.48;28.0;1;0.0;67;53;14;44.73;79.1;2;0;51;20.9;13;Excluído;Excluído;Entre 25 e 27;0
